rank_saa,playerID,name,role,team,IP,qualifying_IP,qualifying_seasons,W,L,SV,SO,G,GS,career_ERA,career_WHIP,ERA_plus,real_WAR,SAA_total,SAA_rate,z_era,z_whip,z_k9,z_wpct,z_sv,yr_min,yr_max,hof
68,cicoted01,Eddie Cicotte,SP,CHA,3226.0,3208.0,13.0,209,149,24,1374,502,361,2.379727216367018,1.1543707377557346,131.64114726790598,57.74,7.816856814807715,0.48733521289324916,0.5866851807507496,0.5565950340529101,0.24062399285939765,0.5180221583780081,0.49785928944852864,1905,1920,False
69,stiveja01,Jack Stivetts,SP,BSN,2887.6666666666665,2837.666666666667,9.0,203,132,5,1223,388,333,3.7369271614914004,1.4059794528454346,123.19437827774429,40.32,7.798306830755102,0.549628109767774,0.37067054625374934,0.4673621226104125,0.8763409501983259,0.7517975874548933,0.1449223502108967,1889,1899,False
70,phillde01,Deacon Phillippe,SP,PIT,2607.0,2588.9999999999995,11.0,189,109,12,929,372,289,2.5857307249712314,1.1051016494054469,122.38096191334152,35.79,7.746077287262634,0.5983837224613854,0.5702521508140561,0.9566196177913455,-0.08983329267934932,0.8899322988037541,0.5664597908515392,1899,1911,False
71,gossari01,Rich Gossage,RP,CHA,1809.3333333333333,1771.3333333333333,21.0,124,107,310,1502,1002,37,3.0093957258658808,1.231945467943994,151.47933198130698,41.62,7.738263228322357,0.8737218549103151,0.7229680960480602,0.5507854847341804,1.5341923884351527,0.24445573107078428,2.092833883798174,1972,1994,True
72,shawkbo01,Bob Shawkey,SP,NYA,2937.0,2920.9999999999995,14.0,196,150,28,1360,488,334,3.0888661899897856,1.2734082397003745,116.63124599156404,46.59,7.615975447801832,0.5214635705444596,0.32878668146783924,0.32270430729214,1.0730436553883669,0.43966354345373393,0.5604938358604455,1913,1927,False
73,messean01,Andy Messersmith,SP,CAL,2230.3333333333335,2208.0,11.0,130,99,15,1625,344,295,2.861007323270064,1.1433268569720518,124.24331833799573,37.55,7.59834495533106,0.6882558836350597,0.7758380873374467,0.9744084673680434,0.8975626527932524,0.5173823438325433,-0.32294754366472084,1968,1979,False
74,wardjo01,John Ward,SP,PRO,2469.6666666666665,2469.6666666666665,7.0,164,103,3,920,293,262,2.099068700229451,1.043460655958969,121.15603268624903,28.060000000000002,7.466102529522657,0.6046243106645423,0.5526808682737373,0.5883288250303166,0.3904040511349605,0.6000756657138071,1.2127594396877515,1878,1884,True
75,hallaro01,Roy Halladay,SP,TOR,2749.3333333333335,2735.3333333333335,15.0,203,105,1,2117,416,390,3.3848205625606207,1.1777400581959263,141.73253920395007,65.38,7.442932909252128,0.5442066470328146,0.654489354445947,0.8280407353053485,0.06620810108618085,0.9757437091338966,-0.348162374490248,1998,2013,True
76,reynoal01,Allie Reynolds,SP,NYA,2492.3333333333335,2487.3333333333335,12.0,182,107,49,1423,434,309,3.304132673532165,1.3858499398154338,111.61682168229406,25.67,7.286140446744581,0.5858595910006362,0.443675840128592,-0.02052268962182419,1.2533083566288856,0.824890067740476,0.6443161850007199,1942,1954,False
77,vaughhi01,Hippo Vaughn,SP,CHN,2730.0,2727.6666666666665,12.0,178,137,5,1416,390,331,2.4857142857142858,1.2007326007326007,130.47142305531122,47.04,7.2620879493339565,0.5324762030551599,0.6100606952563828,0.36139485610434385,1.2407092275453564,0.43839933635795464,-0.4620939756568412,1908,1921,False
78,salech01,Chris Sale,SP,CHA,1672.3333333333333,1649.0,10.0,114,74,12,2059,321,241,3.0298983456248756,1.0422563284831574,149.6645796994553,61.74,7.248279918483148,0.8791121793187566,0.7585574285084291,1.172038940130814,1.4925262413395377,0.6106060221483562,-0.32809099221286064,2010,2021,False
79,greinza01,Zack Greinke,SP,KCA,3110.0,3103.6666666666665,17.0,219,132,1,2809,530,488,3.4118971061093246,1.1588424437299036,130.16028339212187,72.37,7.210415253767656,0.4646385084588759,0.5139306528138053,0.6991288225203065,0.2540178142218595,0.7262393104296911,-0.3474928820638936,2004,2021,False
80,hoffmtr01,Trevor Hoffman,RP,SDN,1089.3333333333333,1080.3333333333333,17.0,61,75,601,1133,1035,0,2.8668910648714814,1.0584455324357407,155.00842811764062,28.11,7.17718717363482,1.3286986436843236,1.149764436802967,1.5827429569341487,1.5552455538619698,-0.23782184718259375,3.6066680423869992,1993,2010,True
81,covelst01,Stan Coveleski,SP,CLE,3082.0,3046.666666666667,12.0,215,142,21,981,450,385,2.890979883192732,1.2514600908500972,132.77646048108366,66.91,7.112286285780773,0.4668896905326546,0.6721552842668215,0.5496894492287627,-0.13306791494860606,0.6853936970022715,0.5096335074802542,1912,1928,True
82,maysca01,Carl Mays,SP,BOS,3021.3333333333335,3021.333333333333,15.0,207,126,31,862,490,325,2.91626213592233,1.2067519858781994,123.93056763108038,43.67,6.951958515657656,0.4601914286622455,0.6002764539993275,0.7528634156475013,-0.5171912500093122,0.8480054740180739,0.5574361644878594,1915,1929,False
83,luquedo01,Dolf Luque,SP,CIN,3220.3333333333335,3203.0000000000005,17.0,194,179,28,1130,550,365,3.24469516613187,1.288375944519201,122.92998860139059,43.85,6.880133679700254,0.4296055997315176,0.695632689966832,0.6938876447849517,0.2786110833258775,0.16154961187898845,-0.05806622997401541,1914,1935,False
84,leevesa01,Sam Leever,SP,PIT,2660.6666666666665,2627.666666666666,12.0,194,100,13,847,388,299,2.4726885492357806,1.141067401653721,123.67499753699573,40.76,6.868478528531107,0.5227815701025835,0.605714644476275,0.6515211756646135,-0.40157271510003795,1.0479774085642026,0.791916763745283,1898,1910,False
85,fernasi01,Sid Fernandez,SP,NYN,1866.6666666666667,1855.666666666667,13.0,114,96,1,1743,307,300,3.3557142857142854,1.1442857142857141,113.2191456849933,31.41,6.809459434910823,0.7339097648547679,0.5042555460811985,1.0561385861222587,1.558136576763929,0.35082790329109065,-0.41803161172400477,1983,1997,False
86,adamsba01,Babe Adams,SP,PIT,2995.3333333333335,2870.3333333333335,14.0,194,140,15,1036,482,355,2.7552860004451367,1.0920320498553304,131.87898618137632,50.11,6.77178510682495,0.47184659901230636,0.5649377282690929,1.2890400911499333,-0.40726445361196795,0.5663053080237564,-0.23456026724808055,1906,1926,False
