saa_rank,name,SAA_final,bWAR,bwar_rank,bWAA,bwaa_rank,JAWS,jaws_rank,WAR7,d_war,d_waa,d_jaws,z_AVG_career,z_ISO_career,z_BB_career,z_SB_career,z_DEF_career,qualifying_seasons,is_hof,is_nel_ranked
898.0,Marco Scutaro,0.1163576310888001,22.07,749.0,3.7,687.0,21.485,740.0,20.900000000000002,-149.0,-211.0,-158.0,0.2973780028652488,-0.6178699681274806,0.1406240818642115,-0.4929204151659619,0.2035168947422879,10.0,False,False
899.0,Jack Smith,0.1132771776191428,13.93,951.0,-2.5099999999999993,868.0,14.19,956.0,14.45,52.0,-31.0,57.0,-0.1445243299096306,-0.3061812010084162,-0.4728509127064161,1.346981319913363,-0.4361300479216044,12.0,False,False
900.0,Mickey Stanley,0.1101410953473108,17.310000000000002,868.0,-1.6899999999999995,847.0,15.995000000000001,909.0,14.680000000000001,-32.0,-53.0,9.0,-0.6460842820058501,-0.152524180178182,-0.6190766682498003,-0.5152007403195747,1.20886178912539,11.0,False,False
901.0,Ray Schalk,0.1094413256962045,33.400000000000006,484.0,8.96,529.0,29.620000000000005,495.0,25.840000000000003,-417.0,-372.0,-406.0,-0.486875508901168,-0.6846590399991408,0.7230819374205447,0.392803061744467,0.6480906989062071,13.0,True,False
902.0,Eduardo Escobar,0.106786667202468,12.430000000000001,979.0,-4.67,920.0,13.215000000000002,970.0,14.000000000000002,77.0,18.0,68.0,-0.0792030370965846,0.2443515167873429,-0.5440166063976974,-0.5373807505862207,-0.2292887058271932,10.0,False,False
903.0,Shannon Stewart,0.105615496654641,24.92,687.0,4.079999999999999,668.0,23.935000000000002,672.0,22.95,-216.0,-235.0,-231.0,0.7053857698682934,-0.6530279079675584,-0.3778137294497374,0.6087065727843775,-0.7534111430969246,10.0,False,False
904.0,Scott Fletcher,0.0917579890954223,31.92,513.0,12.290000000000003,434.0,29.475,499.0,27.03,-391.0,-470.0,-405.0,-0.0871750084111178,-0.8145216215025364,0.0319862434820187,-0.2424524054863993,0.5379902991717138,13.0,False,False
905.0,Mark McLemore,0.088624536215804,19.549999999999997,822.0,-5.109999999999999,934.0,18.384999999999998,837.0,17.22,-83.0,29.0,-68.0,-0.4204986519700058,-1.0709586816187862,0.8727100950106892,0.7542497989741079,0.5035488466258458,15.0,False,False
906.0,Tommy Davis,0.0849842486544464,20.310000000000002,802.0,-7.869999999999999,990.0,20.465000000000003,776.0,20.62,-104.0,84.0,-130.0,0.9149023437180108,-0.544773320521817,-1.251004437436483,0.2619823986860751,-1.059096798068459,15.0,False,False
907.0,Gregg Jefferies,0.0844747388637155,19.57,818.0,0.45,789.0,17.9,849.0,16.23,-89.0,-118.0,-58.0,0.4860678698293094,-0.3144628628833247,-0.4985541900060094,0.6215225283009043,-1.1798990268487213,11.0,False,False
908.0,Joe Pepitone,0.0751383622066248,9.7,1019.0,-8.28,997.0,10.165,1026.0,10.629999999999999,111.0,89.0,118.0,-0.1242083451570083,0.4504232741923662,-1.020999959837389,-0.3382183973619642,-0.2629804373535445,10.0,False,False
909.0,Frank Warfield,0.0728308821445557,10.31,1008.0,1.0200000000000005,769.0,10.495000000000001,1019.0,10.68,99.0,-140.0,110.0,-0.5859476435014911,-0.6428679859515135,0.1968025579188126,1.0208208265239045,0.6692311217620104,11.0,False,True
910.0,Vic Power,0.065831431585714,15.320000000000002,923.0,-4.35,910.0,16.13,904.0,16.939999999999998,13.0,0.0,-6.0,0.41393809057105,-0.5478121021750322,-1.5363286649561774,-0.1652829547385194,0.2677887929564759,12.0,False,False
911.0,Josh Bell,0.0609267237456404,9.709999999999999,1018.0,-8.58,1003.0,10.545,1018.0,11.38,107.0,92.0,107.0,0.0300090419319403,0.1006397165712311,0.574181143094448,-0.6172549484259643,-0.6473509875169168,9.0,False,False
912.0,Jim Gantner,0.0602997771553192,22.45,737.0,0.3558999999999999,794.0,19.575000000000003,805.0,16.700000000000003,-175.0,-118.0,-107.0,0.3120159707042186,-0.8387108463242451,-0.9420685251585146,-0.0939128813599236,0.7945311785953129,14.0,False,False
913.0,Elbie Fletcher,0.0542858010530211,33.339999999999996,485.0,12.53,431.0,31.304999999999996,450.0,29.269999999999996,-428.0,-482.0,-463.0,-0.2183567032000375,-0.227059257426118,1.3495704719097932,-0.516718140705561,-0.4251445345128462,9.0,False,False
914.0,Wade Johnston,0.0417461957389167,13.580000000000002,954.0,3.3275000000000006,704.0,12.575000000000003,983.0,11.570000000000002,40.0,-210.0,69.0,0.1057646473296478,0.016169072575332,0.3844803441173984,0.5748794943909575,-1.2034771583274368,9.0,False,True
915.0,Bobby Lowe,0.0285398723341904,20.070000000000004,806.0,-7.1705,974.0,18.28,839.0,16.49,-109.0,59.0,-76.0,-0.3129868358907574,-0.241470502930808,-0.6357510008932824,-0.2459054201040641,0.1486527889009922,15.0,False,False
916.0,Tommy Helms,0.0263191875074964,8.26,1030.0,-9.859999999999998,1018.0,9.344999999999999,1033.0,10.43,114.0,102.0,117.0,0.3163453874802817,-0.6894279655272609,-1.3132535331112891,-0.5366954689947412,0.9485299650487132,9.0,False,False
917.0,Rick Manning,0.0220878319728652,11.75,986.0,-7.290000000000001,977.0,11.79,996.0,11.829999999999998,69.0,60.0,79.0,-0.4778686631325772,-0.98411610493238,-0.2532615986457465,0.1466289801797045,1.5530290388712829,12.0,False,False
918.0,Patsy Dougherty,0.019676730625261,18.01,856.0,-1.39,839.0,17.465000000000003,860.0,16.92,-62.0,-79.0,-58.0,0.4195336870684726,-0.2401951989028618,-0.0745479381418555,0.6458153503550418,-1.325279375831121,10.0,False,False
919.0,Rube Oldring,0.0089717416826271,14.490000000000002,942.0,-5.260000000000002,937.0,14.600000000000001,945.0,14.71,23.0,18.0,26.0,0.0198464157074196,0.1717111551324168,-1.3773598393029427,-0.0398188868404638,-0.2472915709692041,10.0,False,False
920.0,Bill Russell,-0.0038401106547606,31.259999999999998,528.0,5.109999999999999,637.0,26.265,597.0,21.270000000000003,-392.0,-283.0,-323.0,0.0198061539654016,-0.7243928374855156,-0.7061964194874649,0.0051822057862422,0.3757084224232064,17.0,False,False
921.0,Joe Rudi,-0.0104478367938556,25.47,679.0,4.61,655.0,24.575,652.0,23.68,-242.0,-266.0,-269.0,0.0022150447163021,0.5962693886379102,-0.8439379444985395,-0.7756359565879165,-0.8363059476915469,12.0,False,False
922.0,Frankie Gustine,-0.0186620561950576,8.41,1029.0,-9.790000000000001,1017.0,9.975000000000001,1028.0,11.540000000000001,107.0,95.0,106.0,-0.1716508772644899,-0.3386680684161214,-0.6733099446435298,0.0033336417187621,0.3089041550924585,10.0,False,False
923.0,Monte Cross,-0.0376172225425527,16.430000000000003,896.0,-8.14,994.0,16.42,893.0,16.41,-27.0,71.0,-30.0,-1.2324098116423017,-0.2852608053934672,0.6029148511464075,0.2720985846737564,0.5353800568540021,13.0,False,False
924.0,Bruce Bochte,-0.0393163308507053,19.37,831.0,-0.5499999999999999,813.0,17.63,855.0,15.889999999999999,-93.0,-111.0,-69.0,0.3699725284113753,-0.527890248028299,0.5439023710198215,-0.5048762520765607,-0.7655870530745784,12.0,False,False
925.0,Charlie Jamieson,-0.0404289305555327,23.28,718.0,-5.0393,929.0,22.27,715.0,21.259999999999998,-207.0,4.0,-210.0,0.0963781143306639,-0.8407465041631791,0.5209411516303595,-0.3049862209118595,-0.1353623170583852,13.0,False,False
926.0,Lu Blue,-0.0488796766362835,37.63999999999999,403.0,10.850000000000001,470.0,33.239999999999995,411.0,28.839999999999996,-523.0,-456.0,-515.0,-0.4031500444794348,-0.4045246128658173,2.0454385646977804,0.2721368497239492,-0.4889338873499127,12.0,False,False
927.0,Terry Turner,-0.0501468010816079,38.15,398.0,12.05,441.0,33.205,414.0,28.26,-529.0,-486.0,-513.0,-0.2467359018679485,-0.4486302701538459,-0.4267234864971623,0.0568582452910247,0.1142949181198319,15.0,False,False
928.0,Dean Palmer,-0.0529161441095466,13.29,957.0,-5.95,954.0,13.645,966.0,14.0,29.0,26.0,38.0,-0.6826922894996424,1.0150758595628688,-0.0943897907212846,-0.3063147733382462,-0.6911589614179721,10.0,False,False
